gene_id	Calu3_totalRNA-S1-4h-A	Calu3_totalRNA-S1-4h-B	Calu3_totalRNA-S1-12h-A	Calu3_totalRNA-S1-12h-B	Calu3_totalRNA-S1-24h-A	Calu3_totalRNA-S1-24h-B	Calu3_totalRNA-S2-4h-A	Calu3_totalRNA-S2-4h-B	Calu3_totalRNA-S2-12h-A	Calu3_totalRNA-S2-12h-B	Calu3_totalRNA-S2-24h-A	Calu3_totalRNA-S2-24h-B	Calu3_totalRNA-mock-4h-A	Calu3_totalRNA-mock-4h-B	Calu3_totalRNA-mock-24h-A	Calu3_totalRNA-mock-24h-B	Calu3_totalRNA-untr-4h-A	Calu3_totalRNA-untr-4h-B
ENSG00000245112.2	0	0	0	1	2	0	2	0	3	0	1	2	2	0	0	0	1	0
ENSG00000245146.6	14	27	4	8	8	3	12	21	4	12	6	12	21	19	8	18	12	23
ENSG00000245148.2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245149.3	26	69	22	16	5	6	46	40	18	35	33	23	38	36	53	31	43	68
ENSG00000245156.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1
ENSG00000245164.7	4	0	0	0	0	0	0	3	1	0	0	1	2	2	0	1	1	1
ENSG00000245205.3	1	1	1	1	0	0	0	5	1	0	2	0	1	1	1	1	1	2
ENSG00000245213.6	9	16	5	8	3	2	17	9	9	9	22	17	6	8	25	21	4	11
ENSG00000245248.7	17	13	5	9	5	3	18	10	5	4	1	6	27	25	23	23	14	20
ENSG00000245261.1	6	18	8	6	4	4	17	22	1	6	5	5.5	9	13.5	12.5	12	14	19.5
ENSG00000245275.7	5	12	1	1	3	4	13	7	3	6	5	12	11	4	10	8	11	12
ENSG00000245281.7	5	8	2	4	1	1	6	13	0	3	2	2	5	8	9	2	9	11
ENSG00000245293.2	2	0	0	0	0	0	0	0	0	0	2.5	0	0	0	2	1	0	4
ENSG00000245311.2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245317.2	3	14	6	2	2	2	6	13	5	8	0	8	9	18	5	7	12	16
ENSG00000245322.6	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2
ENSG00000245330.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000245384.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ENSG00000245466.1	0	0.5	0	0.5	1	0	1.5	0	1	0	0	0	0.5	0	0	1.5	0	1
ENSG00000245468.3	1	1	2	1	2	0	8	2	1	0	1	1	0	1	0	3	3	1
ENSG00000245479.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245482.2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0
ENSG00000245498.6	7	33	11	3	5	2	20	17	4	6	10	9	24	11	17	18	17	23
ENSG00000245522.2	14	26	5	3	3	4	28	13	4	1	8	2	16	22	7	12	25	16
ENSG00000245526.10	5	18	11	3	0	2	27	18	2	2	3	7	10	16	20	15	7	30
ENSG00000245532.8	1257	1817	767	669	776	743.5	1928	1923.5	1031.5	1013.5	1596	1817.5	1430	1247	988	1057	1428.33	1908
ENSG00000245534.6	8.5	15	11	8	5	3	15	17	5	5	8.5	13	17.5	16.5	26	22	11	11
ENSG00000245552.6	6	7	6	0	1	0	8	8	4	0	5	8	7	2	8	8	7	8
ENSG00000245556.2	30	72	38	31	25	28	56	66	64	55	43	77	52	54	56	46	50	74
ENSG00000245571.6	56	77	70	69	37.5	44	99	81	97	119.5	67	92.5	95	87	169	114	77	113
ENSG00000245573.8	15	29	12	7	8	5	27	22	7	21	25	19	16	19	20	19	18	19
ENSG00000245598.6	0	2	0	0	0	0	0	0	0	0	2	1	0	2	0	2	0	1
ENSG00000245614.3	13	11	10	14	5	4	16	25	8	5	1	3	12	6	21	18	12	16
ENSG00000245648.1	32	59	21	23	8	16	63	48	16	26	17	24	50	95	77	54	51	57
ENSG00000245651.2	0	0	0	2	0	0	2	0	1	2	0	0	1	0	0	0	0	2
ENSG00000245662.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
ENSG00000245667.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000245680.10	167.5	275.5	139	102.5	63.5	66.5	274	268.5	108.5	113	108	158.5	214	183	272.5	241	196	270.5
ENSG00000245685.6	4	10	5	1	2	1	4	13	3	0	0	4	5	3	1	8	2	12
ENSG00000245694.9	18	38	38	15	9	13	27	31	24	13	18	40	39	48	101	101	22	39
ENSG00000245711.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000245719.1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245729.2	0	0	0	0	0	0	0.5	0.5	0.5	0	0.5	1	1	0	1	0.5	0	0
ENSG00000245748.1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1
ENSG00000245750.8	0	5	3	0	1	2	1	1	0	0	7	5	4	4	5	5	4	3
ENSG00000245768.6	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	2
ENSG00000245812.2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ENSG00000245832.6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245848.3	7	4	7	2	3	4	9	13	1	1	24	14	2	2	4	3	10	1
ENSG00000245849.7	33	51	10	10	10	9	52	36	19	13	9	9	37	29	53	37	21	37
ENSG00000245857.2	1	2	0	0	1	1	2	6	4	2	2	4	2	3	5	7	5	7
ENSG00000245864.2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ENSG00000245869.2	1	1	0	0	2	0	1	1	0	0	1	0	0	0	1	0	1	3
ENSG00000245888.6	9	11	11	3	13	6	15	30	7	10	13	12	9	17	16	14	21	20
ENSG00000245904.3	13	21	5	5	7	4	25	20	8	4	14	11	21	12	15	8	9	30
ENSG00000245910.8	113.5	246.5	84.5	48	17	34	159	167	75.5	71	39	73	203	281.5	207	187.5	138.5	182
ENSG00000245937.7	280	473	202	166	103	69	374	419	129	123	119	171	352	438	584	520	348	443
ENSG00000245954.7	0	1	0	0	0	0	0	0	3	0	1	0	0	0	1	1	1	0
ENSG00000245958.6	54	80	52	32	13	16	85	77	42	27	23	42	59	54	66	63	41	92
ENSG00000245970.2	0	2	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0
ENSG00000245975.2	9	19	4	6	7	3	14	17	8	7	11	9	12	21	19	17	14	18
ENSG00000246016.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000246022.2	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0
ENSG00000246067.7	62	121	39	32	20	33	84	89	59	46	67	65	92	94	83	106	71	93
ENSG00000246082.2	173	261	116	91	43	72	318	239	81	78	124	100	221	283	299	222	240	280
ENSG00000246089.3	22	22	19	7	8	3	39	26	8	15	23	15	27	35	27	28	14	34
ENSG00000246090.6	5	9	7	12	3	3	11	14	7	4	7	6	7	19	16	22	1	19
ENSG00000246095.2	0	2	0	1	0	0	3	5	4	0	0	2	0	0	2	0	2	1
ENSG00000246100.3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ENSG00000246115.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000246130.1	1	0	2	0	7	11	1	1	4	1	10	18	1	0	0	1	0	0
ENSG00000246145.1	3	2	0	0	0	1	3	6	2	1	1	2	3	2	3	1	1	2
ENSG00000246174.7	14	19	6	9	1	2	25	21	8	10	18	7	15	21	19	18	34	17
ENSG00000246203.2	67	113	53	58	39	38	129.5	82.83	43.5	47	65.5	62	91	110	122	98	107	115.5
ENSG00000246211.2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0
ENSG00000246214.1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
ENSG00000246223.8	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000246225.6	0	3	1	0	0	0	9	5	0	1	0	0	4	3	1	1	8	2
ENSG00000246228.6	14	33	18	18	6	4	40	33	10	10	7	12	33	31	46	39	36	28
ENSG00000246250.2	0	1	0	2	0	0	0	0	0	0	1	0	1	0	2	0	0	1
ENSG00000246263.2	4	2	5	3	1	0	3	2	5	2	1	0	3	2	16	4	2	7
ENSG00000246273.7	25	49	21	14	15	10	52	48	14	10	18	14	26	51	33	26	37	52
ENSG00000246283.2	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	1	0	1
ENSG00000246308.1	3	5	7	1	0	3	8	0	2	0	1	2	3	5	1	0	8	3
ENSG00000246316.7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
ENSG00000246323.2	3	2	3	1	1	2	11	3	2	2	1	3	3	4	5	5	6	8
ENSG00000246331.2	0	0	0	0	0	0	0.5	1.5	0	1	0.5	0	0.5	1.5	1	1	1.5	0
ENSG00000246334.2	121	138	57	52	15	14	240	169	29	38	42	37	117	121	84	84	135	114
ENSG00000246339.5	4	9	3	3	1	0	10	15	5	4	3	2	10	6	8	10	11	10
ENSG00000246350.1	6	11	7	5	9	6	12	25	3	10	9	9	12	23	3	10	5	11
ENSG00000246363.3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000246366.6	1	0	0	2	0	2	0	1	1	0	0	0	0	1	0	0	0	1
ENSG00000246375.2	0	0	2	0	1	0	0	0	0	5	2	5	1	6	0	0	1	1
ENSG00000246379.7	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
ENSG00000246394.7	0	0	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0
ENSG00000246422.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000246451.2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	2	0	0
ENSG00000246465.1	5	5	4	3	3	2	7	1	5	2	2	7	5	4	8	10	3	5
ENSG00000246477.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
