Gene	T1	T2	log2FoldChange	Colour
ENSG00000000003.14	4	12	-0.280571077646153	Not
ENSG00000000005.6	4	12	0	Not
ENSG00000000419.12	4	12	-0.183846907668899	Not
ENSG00000000457.14	4	12	0.177317755534118	Not
ENSG00000000460.17	4	12	0.735943648300796	Significant
ENSG00000000938.13	4	12	0	Not
ENSG00000000971.15	4	12	2.80034206931115	Significant
ENSG00000001036.13	4	12	-0.10869273305663	Not
ENSG00000001084.12	4	12	-0.285945560416022	Not
ENSG00000001167.14	4	12	-0.264693917906194	Not
ENSG00000001460.18	4	12	0.0681492390372345	Not
ENSG00000001461.17	4	12	-0.381718692352053	Not
ENSG00000001497.16	4	12	0.164216457263644	Not
ENSG00000001561.7	4	12	0.189040461598812	Not
ENSG00000001617.12	4	12	0	Not
ENSG00000001626.15	4	12	-0.938972363570397	Significant
ENSG00000001629.10	4	12	0.582880153658538	Significant
ENSG00000001630.17	4	12	-0.342164190510896	Not
ENSG00000001631.15	4	12	0.461193096028408	Not
ENSG00000002016.17	4	12	0.718814531666705	Not
ENSG00000002079.14	4	12	-1.62263957683489	Not
ENSG00000002330.13	4	12	-0.160211075454577	Not
ENSG00000002549.12	4	12	1.78497000606093	Significant
ENSG00000002586.20	4	12	-0.205161149173645	Not
ENSG00000002587.10	4	12	0.307387340964574	Not
ENSG00000002726.20	4	12	0	Not
ENSG00000002745.13	4	12	0	Not
ENSG00000002746.15	4	12	0	Not
ENSG00000002822.15	4	12	0.129510270826313	Not
ENSG00000002834.18	4	12	-0.154688812513715	Not
ENSG00000002919.14	4	12	0.0535889299437474	Not
ENSG00000002933.9	4	12	0	Not
ENSG00000003056.8	4	12	-0.142751051738551	Not
ENSG00000003096.14	4	12	0	Not
ENSG00000003137.8	4	12	0	Not
ENSG00000003147.19	4	12	-0.334416275398496	Not
ENSG00000003249.13	4	12	-0.341076784957632	Not
ENSG00000003393.15	4	12	-0.0822474115597591	Not
ENSG00000003400.14	4	12	1.44415990886095	Significant
ENSG00000003402.20	4	12	0.727036974103263	Significant
ENSG00000003436.16	4	12	-0.644368674895958	Significant
