ENSEMBLID	X7h
ENSG00000000457	ENSG00000000457	0.0273819603687837
ENSG00000000460	ENSG00000000460	-0.0947981113379202
ENSG00000001036	ENSG00000001036	0.0597494515447169
ENSG00000001084	ENSG00000001084	0.0148764432897934
ENSG00000001461	ENSG00000001461	-0.422199907187591
ENSG00000001497	ENSG00000001497	0.0752052014354391
ENSG00000001626	ENSG00000001626	0.121388095782547
ENSG00000001629	ENSG00000001629	-0.0275176082515699
ENSG00000002330	ENSG00000002330	0.15296354539885
ENSG00000002549	ENSG00000002549	-0.139331577081173
ENSG00000002586	ENSG00000002586	-0.118920687238149
ENSG00000002587	ENSG00000002587	-0.0506709592995357
ENSG00000002726	ENSG00000002726	-0.181482090180086
ENSG00000002822	ENSG00000002822	-0.0145320045379937
ENSG00000002834	ENSG00000002834	-0.143233342851461
ENSG00000003056	ENSG00000003056	-0.0924836696822868
ENSG00000003096	ENSG00000003096	0.141091334466756
ENSG00000003393	ENSG00000003393	0.073653205932587
ENSG00000003402	ENSG00000003402	-0.0132947030066622
ENSG00000003436	ENSG00000003436	0.050175203531864
ENSG00000003509	ENSG00000003509	-0.105970966365498
ENSG00000003989	ENSG00000003989	-1.23246435373731
ENSG00000004059	ENSG00000004059	-1.44041052916517
ENSG00000004139	ENSG00000004139	1.10217935089036
ENSG00000004142	ENSG00000004142	-1.19058356337399
ENSG00000004399	ENSG00000004399	0.67287956775392
ENSG00000004487	ENSG00000004487	-0.0168922854758987
ENSG00000004534	ENSG00000004534	-0.004398612147772
ENSG00000004660	ENSG00000004660	0.0529891043815779
ENSG00000004766	ENSG00000004766	-0.0895568770568553
ENSG00000004799	ENSG00000004799	-0.0291537410119134
ENSG00000004838	ENSG00000004838	0.0498519512673183
ENSG00000004848	ENSG00000004848	-0.101206025556201
ENSG00000004864	ENSG00000004864	-0.0280720280426875
ENSG00000004939	ENSG00000004939	0.0184537951025234
ENSG00000004948	ENSG00000004948	0.211526521734622
ENSG00000004961	ENSG00000004961	-0.231277830138342
ENSG00000004975	ENSG00000004975	0.443750306559056
ENSG00000005001	ENSG00000005001	0.391190039761489
ENSG00000005075	ENSG00000005075	-0.1655745271931
ENSG00000005100	ENSG00000005100	-0.226296108725187
ENSG00000005102	ENSG00000005102	-0.315065685183234
ENSG00000005187	ENSG00000005187	0.282581468630721
ENSG00000005189	ENSG00000005189	-0.229682631565905
ENSG00000005238	ENSG00000005238	-0.493125171409345
ENSG00000005243	ENSG00000005243	0.433828264351148
ENSG00000005339	ENSG00000005339	0.0292938235861093
