"ENSEMBLID" "PScore"
"1" "ENSG00000000003" "0"
"3" "ENSG00000002587" "1"
"4" "ENSG00000002834" "1"
"8" "ENSG00000004660" "0"
"11" "ENSG00000004838" "1"
"12" "ENSG00000004864" "1"
"13" "ENSG00000005001" "0"
"14" "ENSG00000005379" "1"
"15" "ENSG00000005421" "0"
"17" "ENSG00000005486" "1"
"18" "ENSG00000005812" "0"
"20" "ENSG00000006062" "0"
"22" "ENSG00000006432" "1"
"27" "ENSG00000006837" "0"
"28" "ENSG00000007001" "0"
"30" "ENSG00000007314" "1"
"32" "ENSG00000007944" "1"
"33" "ENSG00000008056" "0"
"36" "ENSG00000008838" "1"
"40" "ENSG00000010165" "1"
"42" "ENSG00000011485" "0"
"43" "ENSG00000011600" "1"
"44" "ENSG00000012124" "0"
"45" "ENSG00000012223" "1"
"50" "ENSG00000013725" "1"
"54" "ENSG00000015568" "0"
"58" "ENSG00000019995" "0"
"60" "ENSG00000020633" "1"
"61" "ENSG00000021762" "1"
"67" "ENSG00000025434" "0"
"68" "ENSG00000026751" "0"
"71" "ENSG00000028277" "0"
"72" "ENSG00000029363" "1"
"73" "ENSG00000030110" "0"
"75" "ENSG00000031698" "1"
"76" "ENSG00000032389" "1"
"77" "ENSG00000033050" "0"
"78" "ENSG00000033178" "1"
"79" "ENSG00000034053" "0"
"80" "ENSG00000035720" "0"
"81" "ENSG00000037757" "1"
"86" "ENSG00000042088" "0"
"92" "ENSG00000046604" "0"
"96" "ENSG00000047457" "0"
"103" "ENSG00000049860" "1"
"104" "ENSG00000049883" "1"
"105" "ENSG00000050426" "0"
"110" "ENSG00000053702" "0"
"111" "ENSG00000054392" "1"
"113" "ENSG00000055044" "1"
"115" "ENSG00000055732" "1"
"116" "ENSG00000056558" "1"
"119" "ENSG00000059804" "0"
"120" "ENSG00000060140" "0"
"121" "ENSG00000060971" "0"
"123" "ENSG00000062725" "0"
"125" "ENSG00000064195" "0"
"126" "ENSG00000064309" "1"
"130" "ENSG00000064835" "1"
"131" "ENSG00000064933" "0"
"132" "ENSG00000065057" "0"
"133" "ENSG00000065060" "0"
"134" "ENSG00000065183" "1"
"136" "ENSG00000065609" "0"
"138" "ENSG00000065923" "1"
"140" "ENSG00000065978" "1"
"141" "ENSG00000065989" "1"
"143" "ENSG00000067560" "0"
"144" "ENSG00000067992" "0"
"145" "ENSG00000068097" "0"
"146" "ENSG00000068615" "1"
"147" "ENSG00000068781" "0"
"152" "ENSG00000070087" "1"
"156" "ENSG00000070718" "1"
