"ENSEMBLID" "PScore"
"157" "ENSG00000070729" "0"
"158" "ENSG00000070761" "0"
"159" "ENSG00000070886" "0"
"161" "ENSG00000071127" "0"
"166" "ENSG00000072062" "1"
"169" "ENSG00000072778" "0"
"170" "ENSG00000072803" "0"
"173" "ENSG00000073417" "1"
"181" "ENSG00000074657" "0"
"183" "ENSG00000074771" "0"
"186" "ENSG00000075213" "1"
"187" "ENSG00000075336" "0"
"189" "ENSG00000075415" "1"
"192" "ENSG00000075702" "0"
"193" "ENSG00000075856" "1"
"195" "ENSG00000075891" "0"
"197" "ENSG00000076662" "0"
"200" "ENSG00000077063" "1"
"201" "ENSG00000077235" "1"
"204" "ENSG00000078081" "1"
"205" "ENSG00000078295" "0"
"209" "ENSG00000079156" "0"
"212" "ENSG00000079931" "0"
"213" "ENSG00000080371" "1"
"214" "ENSG00000080910" "1"
"215" "ENSG00000081041" "0"
"217" "ENSG00000081138" "1"
"222" "ENSG00000081870" "0"
"223" "ENSG00000082074" "1"
"225" "ENSG00000082805" "1"
"227" "ENSG00000083290" "0"
"229" "ENSG00000083720" "0"
"230" "ENSG00000083844" "1"
"231" "ENSG00000084676" "1"
"235" "ENSG00000085788" "1"
"238" "ENSG00000086189" "1"
"241" "ENSG00000087053" "1"
"242" "ENSG00000087086" "0"
"244" "ENSG00000087338" "0"
"246" "ENSG00000088205" "1"
"249" "ENSG00000088367" "0"
"252" "ENSG00000088726" "1"
"254" "ENSG00000088826" "0"
"256" "ENSG00000088899" "1"
"258" "ENSG00000089094" "1"
"260" "ENSG00000089225" "1"
"262" "ENSG00000089351" "0"
"264" "ENSG00000089693" "1"
"265" "ENSG00000089818" "0"
"266" "ENSG00000090060" "0"
"269" "ENSG00000090615" "1"
"271" "ENSG00000090932" "0"
"272" "ENSG00000090989" "1"
"273" "ENSG00000091127" "1"
"274" "ENSG00000091138" "1"
"275" "ENSG00000091482" "1"
"276" "ENSG00000091513" "0"
"277" "ENSG00000091732" "0"
"278" "ENSG00000091947" "0"
"279" "ENSG00000092036" "0"
"280" "ENSG00000092096" "1"
"281" "ENSG00000092201" "0"
"283" "ENSG00000094631" "1"
"285" "ENSG00000095139" "0"
"286" "ENSG00000095906" "1"
"287" "ENSG00000096006" "1"
"288" "ENSG00000096063" "0"
"289" "ENSG00000096433" "0"
"290" "ENSG00000096717" "1"
"291" "ENSG00000096968" "1"
"292" "ENSG00000099204" "0"
"294" "ENSG00000099622" "1"
"295" "ENSG00000099715" "0"
"296" "ENSG00000099769" "0"
"297" "ENSG00000099822" "1"
"300" "ENSG00000099910" "1"
"302" "ENSG00000099954" "0"
"304" "ENSG00000099968" "1"
"305" "ENSG00000099994" "0"
"307" "ENSG00000100053" "1"
"310" "ENSG00000100129" "1"
"311" "ENSG00000100162" "0"
"314" "ENSG00000100219" "1"
"315" "ENSG00000100241" "0"
"316" "ENSG00000100242" "1"
"318" "ENSG00000100292" "1"
"319" "ENSG00000100311" "1"
"320" "ENSG00000100325" "0"
"322" "ENSG00000100342" "1"
"324" "ENSG00000100354" "0"
"327" "ENSG00000100473" "1"
"328" "ENSG00000100503" "0"
"330" "ENSG00000100519" "0"
"331" "ENSG00000100523" "1"
"332" "ENSG00000100532" "1"
"333" "ENSG00000100558" "1"
"336" "ENSG00000100583" "0"
"338" "ENSG00000100599" "0"
"340" "ENSG00000100625" "1"
"341" "ENSG00000100626" "1"
"342" "ENSG00000100665" "0"
"346" "ENSG00000100823" "0"
"349" "ENSG00000100987" "1"
"351" "ENSG00000101150" "0"
"352" "ENSG00000101216" "0"
"356" "ENSG00000101333" "1"
"357" "ENSG00000101349" "0"
"358" "ENSG00000101412" "1"
"359" "ENSG00000101413" "1"
"360" "ENSG00000101440" "1"
"365" "ENSG00000101773" "1"
"367" "ENSG00000101844" "1"
"368" "ENSG00000101849" "0"
"369" "ENSG00000101911" "1"
"370" "ENSG00000101972" "0"
"371" "ENSG00000101977" "1"
"372" "ENSG00000102032" "1"
"373" "ENSG00000102054" "0"
"374" "ENSG00000102119" "1"
"375" "ENSG00000102174" "0"
"376" "ENSG00000102178" "1"
"377" "ENSG00000102195" "1"
"378" "ENSG00000102265" "1"
"379" "ENSG00000102359" "1"
"383" "ENSG00000102595" "1"
"384" "ENSG00000102710" "1"
"385" "ENSG00000102753" "0"
"386" "ENSG00000102763" "1"
"387" "ENSG00000102837" "0"
"388" "ENSG00000102878" "1"
"389" "ENSG00000102921" "0"
"394" "ENSG00000103355" "0"
"396" "ENSG00000103449" "1"
"399" "ENSG00000103507" "0"
"400" "ENSG00000103540" "1"
"402" "ENSG00000103653" "1"
"403" "ENSG00000103707" "0"
"404" "ENSG00000103723" "0"
"405" "ENSG00000103769" "1"
"407" "ENSG00000104043" "1"
"410" "ENSG00000104213" "0"
"411" "ENSG00000104237" "0"
"412" "ENSG00000104408" "0"
"413" "ENSG00000104413" "1"
"418" "ENSG00000104826" "0"
"419" "ENSG00000104856" "0"
"420" "ENSG00000104885" "1"
"421" "ENSG00000104892" "0"
"422" "ENSG00000104936" "1"
"423" "ENSG00000104964" "1"
"425" "ENSG00000105131" "1"
"426" "ENSG00000105176" "0"
"427" "ENSG00000105185" "1"
"430" "ENSG00000105245" "0"
"431" "ENSG00000105281" "0"
"432" "ENSG00000105339" "0"
"433" "ENSG00000105383" "0"
"435" "ENSG00000105402" "1"
"436" "ENSG00000105438" "0"
"438" "ENSG00000105520" "1"
"441" "ENSG00000105605" "1"
"442" "ENSG00000105613" "0"
"443" "ENSG00000105640" "1"
"445" "ENSG00000105662" "1"
"446" "ENSG00000105675" "1"
"448" "ENSG00000105723" "0"
"449" "ENSG00000105755" "0"
"450" "ENSG00000105792" "1"
"456" "ENSG00000106031" "1"
"457" "ENSG00000106089" "1"
"459" "ENSG00000106304" "1"
"460" "ENSG00000106336" "1"
"461" "ENSG00000106351" "0"
"464" "ENSG00000106415" "0"
"465" "ENSG00000106443" "1"
"467" "ENSG00000106511" "0"
"470" "ENSG00000106633" "1"
"474" "ENSG00000106772" "1"
"476" "ENSG00000106868" "0"
"480" "ENSG00000107518" "0"
"483" "ENSG00000107672" "0"
"486" "ENSG00000108061" "1"
"487" "ENSG00000108064" "0"
"490" "ENSG00000108342" "0"
"491" "ENSG00000108349" "1"
"492" "ENSG00000108423" "0"
"494" "ENSG00000108506" "1"
"496" "ENSG00000108669" "0"
"497" "ENSG00000108788" "1"
"500" "ENSG00000108849" "0"
"502" "ENSG00000108854" "0"
"503" "ENSG00000108932" "0"
"504" "ENSG00000108984" "1"
"505" "ENSG00000109046" "0"
"506" "ENSG00000109072" "0"
"507" "ENSG00000109084" "0"
"509" "ENSG00000109158" "0"
"511" "ENSG00000109208" "0"
"512" "ENSG00000109511" "1"
"516" "ENSG00000109846" "1"
"520" "ENSG00000110104" "1"
"521" "ENSG00000110218" "1"
"522" "ENSG00000110324" "0"
"523" "ENSG00000110367" "1"
"526" "ENSG00000110619" "0"
"527" "ENSG00000110680" "1"
"528" "ENSG00000110697" "0"
"529" "ENSG00000110811" "1"
"531" "ENSG00000110931" "1"
"535" "ENSG00000111218" "1"
"536" "ENSG00000111231" "0"
"539" "ENSG00000111331" "1"
"540" "ENSG00000111344" "0"
"542" "ENSG00000111652" "0"
"546" "ENSG00000111728" "1"
"547" "ENSG00000111732" "0"
"549" "ENSG00000111802" "1"
"551" "ENSG00000111846" "1"
"552" "ENSG00000111877" "0"
"558" "ENSG00000112146" "1"
"560" "ENSG00000112214" "1"
"563" "ENSG00000112309" "1"
"564" "ENSG00000112319" "0"
"565" "ENSG00000112357" "0"
"569" "ENSG00000112494" "0"
"573" "ENSG00000112769" "0"
"574" "ENSG00000112799" "1"
"576" "ENSG00000112877" "0"
"578" "ENSG00000112964" "1"
"579" "ENSG00000113108" "1"
"580" "ENSG00000113302" "1"
"582" "ENSG00000113389" "0"
"585" "ENSG00000113595" "0"
"586" "ENSG00000113645" "1"
"587" "ENSG00000113657" "0"
"588" "ENSG00000113761" "1"
"589" "ENSG00000113851" "1"
"593" "ENSG00000114107" "0"
"596" "ENSG00000114251" "1"
"601" "ENSG00000114554" "1"
"602" "ENSG00000114638" "0"
"603" "ENSG00000114670" "0"
"605" "ENSG00000114805" "0"
"607" "ENSG00000114933" "1"
"608" "ENSG00000114956" "0"
"613" "ENSG00000115266" "1"
"617" "ENSG00000115423" "1"
"618" "ENSG00000115556" "1"
"619" "ENSG00000115598" "0"
"620" "ENSG00000115665" "1"
"622" "ENSG00000115750" "0"
"625" "ENSG00000115762" "1"
"629" "ENSG00000116017" "0"
"630" "ENSG00000116127" "0"
"632" "ENSG00000116191" "1"
"633" "ENSG00000116218" "1"
"634" "ENSG00000116237" "0"
"638" "ENSG00000116747" "0"
"640" "ENSG00000116761" "1"
"641" "ENSG00000116791" "1"
"643" "ENSG00000116824" "0"
"645" "ENSG00000117318" "0"
"648" "ENSG00000117448" "0"
"650" "ENSG00000117477" "0"
"652" "ENSG00000117614" "0"
"654" "ENSG00000117676" "1"
"655" "ENSG00000117682" "1"
"657" "ENSG00000117859" "0"
"658" "ENSG00000117906" "1"
"659" "ENSG00000118160" "0"
"661" "ENSG00000118245" "1"
"662" "ENSG00000118298" "1"
"663" "ENSG00000118402" "0"
"664" "ENSG00000118473" "1"
"666" "ENSG00000118518" "1"
"667" "ENSG00000118557" "0"
"669" "ENSG00000118690" "1"
"673" "ENSG00000118972" "1"
"675" "ENSG00000119139" "1"
"681" "ENSG00000119715" "0"
"684" "ENSG00000120063" "1"
"688" "ENSG00000120318" "0"
"689" "ENSG00000120333" "1"
"690" "ENSG00000120451" "1"
"691" "ENSG00000120457" "1"
"693" "ENSG00000120658" "1"
"694" "ENSG00000120693" "1"
"697" "ENSG00000120820" "1"
"699" "ENSG00000120949" "0"
"700" "ENSG00000121005" "1"
"701" "ENSG00000121022" "1"
"702" "ENSG00000121075" "1"
"705" "ENSG00000121440" "1"
"707" "ENSG00000121634" "0"
"708" "ENSG00000121671" "1"
"709" "ENSG00000121741" "1"
"710" "ENSG00000121769" "0"
"711" "ENSG00000121871" "1"
"713" "ENSG00000121905" "0"
"719" "ENSG00000122378" "1"
"720" "ENSG00000122390" "0"
"721" "ENSG00000122482" "1"
"722" "ENSG00000122550" "0"
"725" "ENSG00000122678" "0"
"728" "ENSG00000122863" "1"
"730" "ENSG00000122970" "0"
"731" "ENSG00000123091" "1"
"734" "ENSG00000123329" "1"
"735" "ENSG00000123405" "1"
"737" "ENSG00000123444" "1"
"739" "ENSG00000123505" "1"
"742" "ENSG00000123728" "1"
"743" "ENSG00000123908" "1"
"744" "ENSG00000123992" "0"
"745" "ENSG00000123999" "0"
"747" "ENSG00000124102" "0"
"751" "ENSG00000124222" "0"
"752" "ENSG00000124225" "0"
"755" "ENSG00000124333" "0"
"757" "ENSG00000124507" "1"
"759" "ENSG00000124614" "1"
"761" "ENSG00000124813" "1"
"763" "ENSG00000125089" "0"
"764" "ENSG00000125207" "1"
"766" "ENSG00000125384" "0"
"770" "ENSG00000125629" "1"
"778" "ENSG00000125831" "1"
"784" "ENSG00000125944" "0"
"788" "ENSG00000126226" "1"
"790" "ENSG00000126267" "1"
"793" "ENSG00000126773" "0"
"794" "ENSG00000126822" "1"
"795" "ENSG00000126895" "1"
"797" "ENSG00000127080" "1"
"802" "ENSG00000127472" "1"
"803" "ENSG00000127526" "0"
"806" "ENSG00000127863" "0"
"807" "ENSG00000127914" "1"
"808" "ENSG00000127951" "0"
"811" "ENSG00000128191" "0"
"820" "ENSG00000128645" "0"
"821" "ENSG00000128656" "0"
"822" "ENSG00000128709" "1"
"824" "ENSG00000128833" "0"
"826" "ENSG00000129007" "0"
"828" "ENSG00000129170" "0"
"829" "ENSG00000129250" "0"
"830" "ENSG00000129351" "1"
"832" "ENSG00000129484" "1"
"835" "ENSG00000129654" "1"
"838" "ENSG00000129991" "0"
"840" "ENSG00000130032" "0"
"841" "ENSG00000130165" "1"
"843" "ENSG00000130202" "1"
"844" "ENSG00000130227" "0"
"845" "ENSG00000130304" "0"
"847" "ENSG00000130349" "1"
"848" "ENSG00000130363" "0"
"851" "ENSG00000130558" "0"
"852" "ENSG00000130589" "1"
"854" "ENSG00000130656" "0"
"859" "ENSG00000130748" "1"
"861" "ENSG00000130770" "1"
"867" "ENSG00000131068" "1"
"868" "ENSG00000131100" "0"
"869" "ENSG00000131127" "1"
"871" "ENSG00000131149" "1"
"874" "ENSG00000131373" "1"
"876" "ENSG00000131389" "0"
"881" "ENSG00000131620" "0"
"883" "ENSG00000131653" "1"
"884" "ENSG00000131668" "1"
"885" "ENSG00000131808" "1"
"886" "ENSG00000131876" "0"
"889" "ENSG00000131966" "0"
"890" "ENSG00000132000" "1"
"891" "ENSG00000132005" "1"
"892" "ENSG00000132026" "1"
"893" "ENSG00000132155" "0"
"894" "ENSG00000132182" "1"
"895" "ENSG00000132274" "1"
"896" "ENSG00000132313" "0"
"900" "ENSG00000132432" "1"
"901" "ENSG00000132471" "0"
"904" "ENSG00000132581" "1"
"905" "ENSG00000132591" "1"
"908" "ENSG00000132670" "1"
"909" "ENSG00000132677" "1"
"911" "ENSG00000132781" "1"
"912" "ENSG00000132801" "0"
"913" "ENSG00000132825" "1"
"914" "ENSG00000132872" "0"
"917" "ENSG00000132963" "0"
"918" "ENSG00000133065" "0"
"919" "ENSG00000133067" "0"
"920" "ENSG00000133101" "1"
"923" "ENSG00000133124" "1"
"924" "ENSG00000133328" "1"
"926" "ENSG00000133597" "0"
"929" "ENSG00000133773" "0"
"930" "ENSG00000133800" "0"
"931" "ENSG00000133835" "0"
"933" "ENSG00000133884" "1"
"934" "ENSG00000133943" "0"
"939" "ENSG00000134138" "1"
"940" "ENSG00000134152" "1"
"944" "ENSG00000134343" "1"
"945" "ENSG00000134363" "0"
"947" "ENSG00000134376" "1"
"951" "ENSG00000134531" "0"
"952" "ENSG00000134545" "1"
"955" "ENSG00000134640" "1"
"956" "ENSG00000134697" "0"
"958" "ENSG00000134755" "1"
"960" "ENSG00000134815" "0"
"961" "ENSG00000134873" "0"
"965" "ENSG00000135048" "0"
"966" "ENSG00000135070" "1"
"967" "ENSG00000135074" "1"
"971" "ENSG00000135211" "0"
"975" "ENSG00000135317" "1"
"977" "ENSG00000135341" "0"
"979" "ENSG00000135374" "1"
"980" "ENSG00000135409" "1"
"981" "ENSG00000135472" "1"
"982" "ENSG00000135486" "0"
"983" "ENSG00000135503" "1"
"984" "ENSG00000135535" "0"
"985" "ENSG00000135597" "1"
"986" "ENSG00000135605" "0"
"987" "ENSG00000135631" "1"
"988" "ENSG00000135698" "1"
"989" "ENSG00000135723" "0"
"992" "ENSG00000135823" "1"
"993" "ENSG00000135870" "1"
"995" "ENSG00000135900" "1"
"997" "ENSG00000135914" "0"
"998" "ENSG00000135960" "0"
"1000" "ENSG00000135999" "1"
"1006" "ENSG00000136206" "0"
"1007" "ENSG00000136240" "0"
"1009" "ENSG00000136319" "0"
"1010" "ENSG00000136327" "0"
"1013" "ENSG00000136450" "1"
"1014" "ENSG00000136488" "1"
"1015" "ENSG00000136560" "0"
"1018" "ENSG00000136699" "1"
"1025" "ENSG00000136854" "1"
"1026" "ENSG00000136868" "1"
"1028" "ENSG00000136928" "0"
"1029" "ENSG00000136929" "1"
"1030" "ENSG00000136931" "1"
"1034" "ENSG00000136960" "1"
"1035" "ENSG00000137080" "1"
"1037" "ENSG00000137200" "1"
"1039" "ENSG00000137364" "1"
"1040" "ENSG00000137397" "0"
"1041" "ENSG00000137414" "1"
"1044" "ENSG00000137501" "0"
"1045" "ENSG00000137507" "1"
"1048" "ENSG00000137700" "1"
"1051" "ENSG00000137745" "0"
"1053" "ENSG00000137760" "0"
"1056" "ENSG00000137843" "1"
"1057" "ENSG00000137878" "0"
"1061" "ENSG00000138018" "1"
"1062" "ENSG00000138028" "0"
"1067" "ENSG00000138111" "0"
"1068" "ENSG00000138207" "1"
"1069" "ENSG00000138316" "1"
"1070" "ENSG00000138363" "0"
"1074" "ENSG00000138463" "0"
"1077" "ENSG00000138641" "0"
"1078" "ENSG00000138663" "0"
"1081" "ENSG00000138696" "0"
"1083" "ENSG00000138792" "0"
"1085" "ENSG00000138801" "1"
"1086" "ENSG00000138944" "1"
"1088" "ENSG00000139117" "1"
"1089" "ENSG00000139144" "0"
"1090" "ENSG00000139146" "1"
"1091" "ENSG00000139197" "0"
"1093" "ENSG00000139287" "0"
"1096" "ENSG00000139405" "0"
"1097" "ENSG00000139445" "1"
"1098" "ENSG00000139531" "0"
"1099" "ENSG00000139546" "0"
"1106" "ENSG00000139832" "1"
"1107" "ENSG00000139880" "1"
"1110" "ENSG00000140104" "1"
"1112" "ENSG00000140280" "0"
"1113" "ENSG00000140299" "0"
"1115" "ENSG00000140365" "0"
"1117" "ENSG00000140398" "1"
"1119" "ENSG00000140450" "1"
"1120" "ENSG00000140471" "0"
"1121" "ENSG00000140488" "0"
"1122" "ENSG00000140521" "1"
"1123" "ENSG00000140543" "1"
"1124" "ENSG00000140575" "0"
"1125" "ENSG00000140623" "1"
"1126" "ENSG00000140743" "1"
"1128" "ENSG00000140807" "0"
"1131" "ENSG00000140986" "0"
"1132" "ENSG00000141026" "1"
"1133" "ENSG00000141086" "1"
"1134" "ENSG00000141161" "0"
"1136" "ENSG00000141294" "0"
"1137" "ENSG00000141338" "1"
"1140" "ENSG00000141499" "0"
"1141" "ENSG00000141522" "1"
"1142" "ENSG00000141542" "0"
"1143" "ENSG00000141562" "0"
"1149" "ENSG00000141738" "1"
"1154" "ENSG00000142089" "0"
"1159" "ENSG00000142513" "0"
"1160" "ENSG00000142538" "1"
"1161" "ENSG00000142544" "0"
"1167" "ENSG00000143153" "0"
"1170" "ENSG00000143194" "1"
"1176" "ENSG00000143374" "0"
"1178" "ENSG00000143390" "0"
"1180" "ENSG00000143452" "0"
"1182" "ENSG00000143499" "1"
"1186" "ENSG00000143630" "0"
"1187" "ENSG00000143742" "1"
"1188" "ENSG00000143797" "1"
"1191" "ENSG00000143970" "1"
"1193" "ENSG00000144161" "1"
"1196" "ENSG00000144366" "1"
"1197" "ENSG00000144460" "1"
"1198" "ENSG00000144504" "0"
"1201" "ENSG00000144591" "1"
"1206" "ENSG00000144671" "0"
"1207" "ENSG00000144674" "1"
"1209" "ENSG00000144771" "1"
"1210" "ENSG00000144824" "1"
"1211" "ENSG00000144827" "1"
"1212" "ENSG00000144908" "1"
"1216" "ENSG00000145386" "1"
"1217" "ENSG00000145416" "1"
"1219" "ENSG00000145495" "0"
"1220" "ENSG00000145506" "0"
"1221" "ENSG00000145592" "1"
"1222" "ENSG00000145632" "1"
"1223" "ENSG00000145675" "0"
"1226" "ENSG00000145780" "1"
"1228" "ENSG00000145839" "0"
"1229" "ENSG00000145864" "1"
"1231" "ENSG00000145919" "1"
"1232" "ENSG00000145982" "1"
"1233" "ENSG00000145990" "1"
"1235" "ENSG00000146007" "0"
"1237" "ENSG00000146151" "0"
"1238" "ENSG00000146216" "0"
"1241" "ENSG00000146276" "0"
"1243" "ENSG00000146416" "1"
"1244" "ENSG00000146426" "1"
"1246" "ENSG00000146857" "0"
"1247" "ENSG00000147010" "1"
"1248" "ENSG00000147065" "0"
"1249" "ENSG00000147082" "1"
"1250" "ENSG00000147100" "1"
"1253" "ENSG00000147180" "0"
"1255" "ENSG00000147381" "0"
"1256" "ENSG00000147434" "1"
"1257" "ENSG00000147443" "1"
"1258" "ENSG00000147465" "1"
"1260" "ENSG00000147509" "0"
"1261" "ENSG00000147571" "1"
"1262" "ENSG00000147588" "0"
"1268" "ENSG00000148057" "1"
"1269" "ENSG00000148136" "0"
"1272" "ENSG00000148219" "1"
"1275" "ENSG00000148399" "1"
"1277" "ENSG00000148600" "0"
"1278" "ENSG00000148719" "0"
"1281" "ENSG00000149021" "1"
"1283" "ENSG00000149187" "1"
"1288" "ENSG00000149452" "0"
"1290" "ENSG00000149541" "1"
"1291" "ENSG00000149548" "0"
"1292" "ENSG00000149599" "1"
"1294" "ENSG00000149743" "0"
"1295" "ENSG00000149792" "0"
"1297" "ENSG00000150456" "0"
"1298" "ENSG00000150593" "0"
"1300" "ENSG00000150753" "1"
"1301" "ENSG00000150782" "1"
"1302" "ENSG00000150991" "0"
"1303" "ENSG00000151014" "1"
"1304" "ENSG00000151033" "0"
"1307" "ENSG00000151117" "1"
"1309" "ENSG00000151151" "0"
"1312" "ENSG00000151304" "1"
"1315" "ENSG00000151475" "0"
"1317" "ENSG00000151552" "0"
"1318" "ENSG00000151612" "1"
"1321" "ENSG00000151746" "1"
"1325" "ENSG00000152092" "0"
"1326" "ENSG00000152127" "1"
"1328" "ENSG00000152214" "0"
"1329" "ENSG00000152219" "1"
"1336" "ENSG00000152689" "1"
"1337" "ENSG00000152767" "1"
"1339" "ENSG00000152942" "0"
"1341" "ENSG00000153086" "0"
"1343" "ENSG00000153147" "1"
"1347" "ENSG00000153404" "0"
"1348" "ENSG00000153551" "0"
"1350" "ENSG00000153790" "0"
"1352" "ENSG00000153832" "1"
"1353" "ENSG00000153896" "0"
"1355" "ENSG00000153989" "0"
"1358" "ENSG00000154079" "0"
"1359" "ENSG00000154124" "1"
"1360" "ENSG00000154146" "0"
"1361" "ENSG00000154188" "1"
"1363" "ENSG00000154359" "0"
"1365" "ENSG00000154545" "1"
"1368" "ENSG00000154734" "1"
"1369" "ENSG00000154760" "1"
"1372" "ENSG00000155097" "0"
"1373" "ENSG00000155189" "0"
"1378" "ENSG00000155660" "0"
"1381" "ENSG00000155962" "1"
"1387" "ENSG00000156162" "0"
"1388" "ENSG00000156170" "1"
"1389" "ENSG00000156218" "0"
"1391" "ENSG00000156298" "0"
"1392" "ENSG00000156411" "1"
"1395" "ENSG00000156521" "1"
"1400" "ENSG00000157005" "0"
"1402" "ENSG00000157216" "1"
"1403" "ENSG00000157450" "0"
"1407" "ENSG00000157593" "0"
"1408" "ENSG00000157653" "1"
"1409" "ENSG00000157796" "0"
"1416" "ENSG00000158104" "0"
"1417" "ENSG00000158109" "1"
"1418" "ENSG00000158163" "1"
"1419" "ENSG00000158201" "0"
"1422" "ENSG00000158483" "1"
"1423" "ENSG00000158488" "1"
"1425" "ENSG00000158636" "0"
"1426" "ENSG00000158683" "1"
"1427" "ENSG00000158715" "0"
"1428" "ENSG00000158773" "1"
"1429" "ENSG00000158796" "1"
"1430" "ENSG00000158882" "1"
"1434" "ENSG00000159166" "0"
"1437" "ENSG00000159217" "1"
"1440" "ENSG00000159289" "0"
"1441" "ENSG00000159335" "1"
"1443" "ENSG00000159387" "0"
"1444" "ENSG00000159388" "0"
"1445" "ENSG00000159495" "1"
"1446" "ENSG00000159527" "1"
"1449" "ENSG00000159714" "0"
"1450" "ENSG00000159885" "0"
"1451" "ENSG00000159958" "0"
"1452" "ENSG00000160051" "1"
"1453" "ENSG00000160113" "0"
"1456" "ENSG00000160284" "1"
"1457" "ENSG00000160326" "1"
"1460" "ENSG00000160654" "0"
"1461" "ENSG00000160679" "1"
"1462" "ENSG00000160703" "0"
"1468" "ENSG00000160868" "0"
"1469" "ENSG00000160888" "1"
"1470" "ENSG00000160949" "0"
"1475" "ENSG00000161082" "0"
"1476" "ENSG00000161180" "0"
"1478" "ENSG00000161243" "1"
"1479" "ENSG00000161277" "0"
"1483" "ENSG00000161609" "0"
"1485" "ENSG00000161642" "0"
"1486" "ENSG00000161835" "0"
"1488" "ENSG00000161914" "0"
"1490" "ENSG00000161973" "1"
"1492" "ENSG00000162039" "0"
"1493" "ENSG00000162062" "0"
"1495" "ENSG00000162341" "1"
"1496" "ENSG00000162378" "1"
"1497" "ENSG00000162383" "0"
"1498" "ENSG00000162419" "0"
"1499" "ENSG00000162512" "0"
"1500" "ENSG00000162542" "0"
"1501" "ENSG00000162576" "1"
"1506" "ENSG00000162670" "0"
"1507" "ENSG00000162755" "1"
"1511" "ENSG00000162836" "0"
"1514" "ENSG00000162896" "0"
"1518" "ENSG00000162992" "0"
"1519" "ENSG00000163006" "0"
"1520" "ENSG00000163041" "1"
"1523" "ENSG00000163141" "0"
"1524" "ENSG00000163166" "1"
"1526" "ENSG00000163209" "0"
"1528" "ENSG00000163220" "1"
"1530" "ENSG00000163312" "0"
"1531" "ENSG00000163320" "1"
"1533" "ENSG00000163394" "1"
"1534" "ENSG00000163428" "0"
"1535" "ENSG00000163431" "1"
"1538" "ENSG00000163510" "0"
"1539" "ENSG00000163535" "0"
"1540" "ENSG00000163576" "0"
"1546" "ENSG00000163785" "0"
"1548" "ENSG00000163807" "1"
"1549" "ENSG00000163815" "0"
"1555" "ENSG00000164045" "0"
"1556" "ENSG00000164066" "1"
"1561" "ENSG00000164105" "0"
"1562" "ENSG00000164112" "1"
"1563" "ENSG00000164116" "1"
"1567" "ENSG00000164164" "1"
"1568" "ENSG00000164167" "1"
"1569" "ENSG00000164176" "0"
"1573" "ENSG00000164303" "0"
"1575" "ENSG00000164323" "0"
"1578" "ENSG00000164398" "0"
"1580" "ENSG00000164418" "1"
"1582" "ENSG00000164494" "0"
"1583" "ENSG00000164535" "1"
"1584" "ENSG00000164603" "0"
"1585" "ENSG00000164610" "1"
"1586" "ENSG00000164619" "1"
"1587" "ENSG00000164651" "0"
"1588" "ENSG00000164684" "0"
