ENSEMBLID	X18h
ENSG00000000419	ENSG00000000419	0.257024488716607
ENSG00000000460	ENSG00000000460	-0.15100176817195
ENSG00000000938	ENSG00000000938	0.116683260242956
ENSG00000000971	ENSG00000000971	0.101752228264462
ENSG00000001460	ENSG00000001460	0.0720214582173326
ENSG00000001461	ENSG00000001461	0.299824732640533
ENSG00000001497	ENSG00000001497	-0.4119065360726
ENSG00000001617	ENSG00000001617	0.239383030956833
ENSG00000002016	ENSG00000002016	0.0358130241821938
ENSG00000002330	ENSG00000002330	-0.000937451853537515
ENSG00000002586	ENSG00000002586	0.0279265888055941
ENSG00000002587	ENSG00000002587	-0.0122414199020735
ENSG00000002746	ENSG00000002746	0.0473221208655303
ENSG00000002822	ENSG00000002822	-0.0691539289579139
ENSG00000002834	ENSG00000002834	0.047683932901896
ENSG00000002933	ENSG00000002933	0.0282471621817712
ENSG00000003147	ENSG00000003147	0.354468635413033
ENSG00000003249	ENSG00000003249	0.0443093628326334
ENSG00000003393	ENSG00000003393	0.0677017093654495
ENSG00000003987	ENSG00000003987	-0.121618844392088
ENSG00000003989	ENSG00000003989	-0.0434264889401851
ENSG00000004059	ENSG00000004059	0.11320178132386
ENSG00000004142	ENSG00000004142	-0.113289293954873
ENSG00000004399	ENSG00000004399	-0.0691023368660151
ENSG00000004478	ENSG00000004478	0.507167453135418
ENSG00000004487	ENSG00000004487	0.429228520079932
ENSG00000004534	ENSG00000004534	-0.518484394577275
ENSG00000004660	ENSG00000004660	0.547434885978412
ENSG00000004700	ENSG00000004700	-0.0886983280890249
ENSG00000004779	ENSG00000004779	0.0634540201831374
ENSG00000004809	ENSG00000004809	-0.0433173290815659
ENSG00000004838	ENSG00000004838	0.107505883696967
ENSG00000004897	ENSG00000004897	0.0960887556809631
ENSG00000004939	ENSG00000004939	0.0777317769576626
ENSG00000004948	ENSG00000004948	0.107981859987293
ENSG00000004975	ENSG00000004975	0.093242103762894
ENSG00000005022	ENSG00000005022	-0.658914021244758
ENSG00000005059	ENSG00000005059	-0.677799471212256
ENSG00000005075	ENSG00000005075	-0.474073044109518
ENSG00000005100	ENSG00000005100	0.0799110184559435
ENSG00000005175	ENSG00000005175	-0.323846215104701
ENSG00000005187	ENSG00000005187	-0.1712792839194
ENSG00000005189	ENSG00000005189	0.0677064114019323
ENSG00000005302	ENSG00000005302	-0.233192180524656
ENSG00000005339	ENSG00000005339	-0.218960951575255
ENSG00000005379	ENSG00000005379	0.267094267696612
ENSG00000005381	ENSG00000005381	-0.272389575546555
ENSG00000005421	ENSG00000005421	-0.152342762692258
ENSG00000005471	ENSG00000005471	0.101721095940919
ENSG00000005486	ENSG00000005486	0.0315417585088085
ENSG00000005700	ENSG00000005700	0.0474398644658356
ENSG00000005844	ENSG00000005844	-0.494441343444699
ENSG00000005893	ENSG00000005893	0.325270784542765
ENSG00000006015	ENSG00000006015	0.0677661480692884
ENSG00000006016	ENSG00000006016	0.092892861563671
ENSG00000006042	ENSG00000006042	0.0206122231038375
ENSG00000006047	ENSG00000006047	-0.255453930296886
ENSG00000006116	ENSG00000006116	0.0457115589345909
ENSG00000006125	ENSG00000006125	0.0380855963140648
ENSG00000006194	ENSG00000006194	-0.0525179951773893
ENSG00000006210	ENSG00000006210	-0.0267712707035089
ENSG00000006327	ENSG00000006327	0.238736354358335
ENSG00000006377	ENSG00000006377	0.327899774086884
ENSG00000006432	ENSG00000006432	-0.264906670308172
ENSG00000006453	ENSG00000006453	-0.161780337660628
ENSG00000006534	ENSG00000006534	0.0224799406270696
ENSG00000006555	ENSG00000006555	-0.0300570048408873
ENSG00000006576	ENSG00000006576	-0.0434078510856875
ENSG00000006638	ENSG00000006638	-0.320540563272437
ENSG00000006652	ENSG00000006652	-0.377344056384005
ENSG00000006659	ENSG00000006659	0.420964401572994
ENSG00000006695	ENSG00000006695	-0.206007360721605
ENSG00000006704	ENSG00000006704	-0.217920255560105
ENSG00000006744	ENSG00000006744	0.332709637459595
ENSG00000006747	ENSG00000006747	0.288068593602327
ENSG00000006757	ENSG00000006757	0.160309203728726
ENSG00000006788	ENSG00000006788	-0.317284393176439
ENSG00000006831	ENSG00000006831	0.0697749083429606
ENSG00000007038	ENSG00000007038	0.125198685060526
ENSG00000007047	ENSG00000007047	0.207163194436829
ENSG00000007062	ENSG00000007062	-0.095218024838104
ENSG00000007080	ENSG00000007080	0.191551171710163
ENSG00000007129	ENSG00000007129	-0.0595607163407728
ENSG00000007202	ENSG00000007202	0.242057058919752
ENSG00000007216	ENSG00000007216	0.306674994313584
ENSG00000007255	ENSG00000007255	0.0916449127978153
ENSG00000007264	ENSG00000007264	0.185636120321383
ENSG00000007350	ENSG00000007350	-0.0498772141747346
ENSG00000007372	ENSG00000007372	-0.00626301701954072
ENSG00000007376	ENSG00000007376	-0.171526088603401
ENSG00000007384	ENSG00000007384	-0.0666109137301672
ENSG00000007392	ENSG00000007392	-0.0570351000526076
ENSG00000007541	ENSG00000007541	0.109729166772762
ENSG00000007866	ENSG00000007866	0.26051811125833
ENSG00000007908	ENSG00000007908	-0.0159510698378404
ENSG00000007968	ENSG00000007968	0.407111549708019
