"ENSEMBLID" "PScore"
"1" "ENSG00000000003" "0"
"2" "ENSG00000000971" "1"
"3" "ENSG00000001497" "1"
"6" "ENSG00000002834" "1"
"8" "ENSG00000003989" "0"
"9" "ENSG00000004766" "0"
"12" "ENSG00000005100" "1"
"14" "ENSG00000005243" "1"
"17" "ENSG00000005893" "1"
"18" "ENSG00000006042" "0"
"22" "ENSG00000006451" "0"
"23" "ENSG00000006453" "0"
"24" "ENSG00000006625" "0"
"27" "ENSG00000007372" "0"
"29" "ENSG00000007545" "1"
"30" "ENSG00000007968" "0"
"31" "ENSG00000008056" "0"
"33" "ENSG00000008441" "0"
"37" "ENSG00000010292" "0"
"38" "ENSG00000010539" "1"
"39" "ENSG00000010932" "1"
"40" "ENSG00000011028" "0"
"47" "ENSG00000013288" "1"
"48" "ENSG00000013364" "1"
"54" "ENSG00000015285" "0"
"60" "ENSG00000020633" "1"
"61" "ENSG00000020922" "1"
"62" "ENSG00000021574" "0"
"64" "ENSG00000022840" "0"
"65" "ENSG00000023287" "1"
"67" "ENSG00000025156" "0"
"69" "ENSG00000026025" "1"
"71" "ENSG00000026652" "0"
"72" "ENSG00000027075" "1"
"73" "ENSG00000028277" "0"
"75" "ENSG00000029993" "1"
"77" "ENSG00000030110" "1"
"79" "ENSG00000031823" "0"
"81" "ENSG00000033122" "0"
"83" "ENSG00000033800" "1"
"86" "ENSG00000036530" "0"
"88" "ENSG00000037897" "1"
"89" "ENSG00000038274" "1"
"90" "ENSG00000038382" "0"
"99" "ENSG00000047249" "0"
"101" "ENSG00000047597" "0"
"102" "ENSG00000047648" "1"
"104" "ENSG00000048649" "0"
"105" "ENSG00000049192" "0"
"107" "ENSG00000049759" "0"
"108" "ENSG00000050393" "0"
"109" "ENSG00000050748" "1"
"112" "ENSG00000052802" "0"
"113" "ENSG00000054148" "1"
"118" "ENSG00000055732" "0"
"121" "ENSG00000057657" "1"
"122" "ENSG00000058085" "0"
"124" "ENSG00000058799" "1"
"125" "ENSG00000059377" "0"
"128" "ENSG00000060656" "0"
"129" "ENSG00000061794" "1"
"131" "ENSG00000062725" "1"
"132" "ENSG00000063177" "0"
"134" "ENSG00000064115" "0"
"136" "ENSG00000064393" "1"
"138" "ENSG00000064989" "1"
"139" "ENSG00000064999" "0"
"140" "ENSG00000065150" "1"
"141" "ENSG00000065325" "1"
"142" "ENSG00000065978" "0"
"143" "ENSG00000066135" "1"
"145" "ENSG00000066322" "1"
"146" "ENSG00000066557" "1"
"147" "ENSG00000066583" "1"
"149" "ENSG00000066933" "1"
"151" "ENSG00000067141" "0"
"153" "ENSG00000067606" "0"
"157" "ENSG00000068697" "0"
"160" "ENSG00000069188" "0"
"162" "ENSG00000069764" "0"
"164" "ENSG00000070269" "0"
"165" "ENSG00000070366" "1"
"166" "ENSG00000070423" "0"
"168" "ENSG00000070759" "0"
"169" "ENSG00000070808" "1"
"173" "ENSG00000071205" "0"
"177" "ENSG00000072201" "1"
"180" "ENSG00000073150" "0"
"181" "ENSG00000073331" "1"
"182" "ENSG00000073734" "1"
"183" "ENSG00000073792" "0"
"185" "ENSG00000074181" "1"
"186" "ENSG00000074319" "0"
"189" "ENSG00000075043" "1"
