X0.logFC	X0.P.Value
ENSG00000004700	-0.977290574247898	0.0495275299248541
ENSG00000011132	-0.740115361038714	0.0415905403413563
ENSG00000060491	-0.657869995344777	0.0851984747835312
ENSG00000065833	-0.552839733101653	0.0656352226619738
ENSG00000078898	-0.857812575914899	0.0694156203942708
ENSG00000100362	-0.622989658635338	0.0518365689683883
ENSG00000100813	0.503253228762859	0.00679086180892559
ENSG00000103056	-0.538967722886804	0.0521245419153802
ENSG00000104818	-0.603897716073387	0.0551983974506163
ENSG00000107897	-0.781291098965003	0.0768045417876135
ENSG00000109920	-0.517617358541127	0.00696287531684429
ENSG00000111664	-0.859586541872483	0.0377876187374052
ENSG00000112874	-0.617024025514133	0.0775372991572167
ENSG00000117335	-0.841733502954737	0.0493796388602133
ENSG00000121931	-0.518442847839691	0.0140281483762961
ENSG00000122386	-1.30115379703909	0.0348375324616928
ENSG00000123342	-0.918723053256353	0.0705025414975469
ENSG00000124610	0.522046834374371	0.0274800493462824
ENSG00000126603	-0.739736372510621	0.0870627133045775
ENSG00000127529	-1.10386033449676	0.0840363868078627
ENSG00000128965	-0.567519850197368	0.0662236092858291
ENSG00000132026	-0.805770706462271	0.0828974373584259
ENSG00000136156	-0.586253528628258	0.0495275299248541
ENSG00000137218	-0.59601869460362	0.0222505556393684
ENSG00000137266	-0.692986203229601	0.0876309561373634
ENSG00000139797	-1.08613667582052	0.0704123014798629
ENSG00000155660	-0.563600048173676	0.0462220862377028
ENSG00000159516	-0.750910234093382	0.0551854322429534
ENSG00000159648	-0.645428995381745	0.0202614372152404
ENSG00000161664	-0.688469239077083	0.093255293925598
ENSG00000166188	-0.796341685308616	0.0425287196296911
ENSG00000169418	-0.730964036022676	0.0793894943949575
ENSG00000169896	-0.549697957051003	0.0768176067883457
ENSG00000170523	-0.836183946726981	0.0525123175433742
ENSG00000170775	-0.796753067391933	0.0449799473282836
ENSG00000171596	-0.711235931559591	0.0710155488086377
ENSG00000171956	-1.58063391711488	0.0218999962338404
ENSG00000177238	-0.69812391141572	0.0495275299248541
ENSG00000177576	-0.553693026674786	0.0577784414512181
ENSG00000180530	-0.615095047136644	0.0493038864550196
ENSG00000181513	-0.5742510567515	0.0663867272419622
ENSG00000181541	-1.25802731646507	0.0316367876396787
ENSG00000181965	-1.27887691437903	0.0701491121862758
ENSG00000182533	-0.753883756649052	0.0946345556300917
ENSG00000185640	-0.660434617720313	0.0628791317794216
ENSG00000186222	-0.626991017333647	0.0801305460874313
ENSG00000187223	-1.06210196993992	0.0968086234125617
ENSG00000187238	-0.617289702992034	0.0495275299248541
ENSG00000187902	-0.634139953981692	0.0808426821792205
ENSG00000188042	0.572234550299299	0.00679086180892559
ENSG00000196437	-0.715276237665405	0.0840876702440996
ENSG00000197238	0.991829867092709	0.0389211634018518
ENSG00000197888	-0.682906961875375	0.0800034227328773
ENSG00000198443	-0.542976130048873	0.0707588954199812
ENSG00000198521	-0.918773108984448	0.090281220752127
ENSG00000198898	-0.613373067720881	0.0123859766489132
ENSG00000204920	-0.511852998190828	0.0134155621116818
ENSG00000204941	-1.1833333586865	0.0784787661473445
ENSG00000205502	-0.566435451037869	0.0303361955554978
ENSG00000230657	-0.613932072895032	0.0584297898609849
ENSG00000258597	-0.596807402333334	0.0318213145801897
ENSG00000260078	-0.723858421333336	0.0691255805238278
ENSG00000270806	-1.01675503827354	0.0654752397579762
ENSG00000273542	0.968486704371676	0.0415905403413563
ENSG00000274618	0.656131986702242	0.0449936024917273
ENSG00000274636	-0.739736372510621	0.0870627133045775
ENSG00000274665	-0.622989658635338	0.0518365689683883
ENSG00000274821	-0.596807402333334	0.0318213145801897
ENSG00000274839	-0.613932072895032	0.0584297898609849
ENSG00000276180	0.513791730967711	0.0784787661473445
ENSG00000276368	0.542516758288611	0.090587738417069
ENSG00000279566	-0.918773108984448	0.090281220752127
ENSG00000285182	-0.517617358541127	0.00696287531684429
