X12.logFC	X12.P.Value
ENSG00000002919	-1.177972411	0.0875198174898182
ENSG00000004399	-0.6005603885	0.078633020843461
ENSG00000006210	-0.8771572719	0.0586389408677343
ENSG00000007129	0.5634389136	0.0759158867011809
ENSG00000007237	-1.22737091	0.0657649273340575
ENSG00000019169	-0.5900915705	0.0698020029322927
ENSG00000026751	-0.839350076499999	0.0971913745017949
ENSG00000055483	-0.818864536	0.0623888747100091
ENSG00000068615	0.6938265172	0.0867085102369097
ENSG00000077044	-0.945399899299999	0.0516298859089801
ENSG00000077152	0.6333344313	0.0639967414297192
ENSG00000081041	-1.84700079028698	0.000484938254007779
ENSG00000081148	-1.1921993945	0.0828843814142447
ENSG00000084112	-0.508063424786715	0.0912331018008088
ENSG00000089356	-0.685017688196365	0.0995846551345739
ENSG00000095015	-0.639863104	0.0992865334985419
ENSG00000099860	-0.676874704000001	0.0541091132529221
ENSG00000100285	-0.645689012660672	0.0867085102369097
ENSG00000100302	-1.2286030812	0.0988340261943886
ENSG00000100664	-0.670375510000002	0.0509354715542316
ENSG00000101194	-0.725673164100002	0.0470279266262874
ENSG00000101292	-0.7930211246	0.0714060305884467
ENSG00000101665	-1.3123663837	0.0867085102369097
ENSG00000101842	-2.386276371	0.0820907027899118
ENSG00000104147	0.547504748500001	0.0620718726206994
ENSG00000104213	0.6587578653	0.0848689238435561
ENSG00000104783	-0.806487692700001	0.070972988757394
ENSG00000104951	-1.1401629216	0.0326061592709735
ENSG00000105085	-0.686655577999999	0.0588445653894102
ENSG00000105643	-0.652506655999999	0.0588445653894102
ENSG00000105708	-0.770048070100001	0.0405225693828515
ENSG00000105825	1.764250415	0.00222711511301814
ENSG00000105879	-0.694566133799999	0.0637937097200983
ENSG00000105997	-0.805926607399999	0.00368038010921573
ENSG00000106246	-0.846299512000002	0.0588445653894102
ENSG00000106355	0.8480100471	0.0848084087565568
ENSG00000106366	-0.773509557300002	0.0236096608653866
ENSG00000106399	0.891958306700001	0.0622844519149512
ENSG00000106603	0.544713122100001	0.0446262078653275
ENSG00000109063	-0.8644634458	0.0569845266626235
ENSG00000109787	-0.924739290000003	0.0567460003486717
ENSG00000109846	-0.7520867738	0.077754605939783
ENSG00000110442	0.597722604999999	0.0729432224931015
ENSG00000111077	-1.445897489	0.0370332760757865
ENSG00000111203	-0.9933662563	0.077754605939783
ENSG00000111846	0.609045547697101	0.0516298859089801
ENSG00000112365	-0.872005679099999	0.0927867974494916
ENSG00000112715	-0.745177505787846	0.0374622762766185
