baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Colour
ENSG00000275110.1	20.3615949504704	7.31120013965944	4.78670279291154	1.52739797225061	0.12666208037857	0.617576254191843	Not
ENSG00000125144.13	75.2329275086274	3.05470019270194	0.46268775363762	6.60207703507622	4.0543672299668e-11	3.50491341334123e-09	Significant
ENSG00000188372.15	14.0195234220699	2.04301366950424	0.923007368179454	2.21343159322107	0.0268679045429127	0.268317252242511	Not
ENSG00000137691.13	15.4354904043247	1.97915873943528	0.872299443897254	2.26889831614796	0.0232745101580165	0.246032350064974	Not
ENSG00000224635.1	18.3165646594746	1.95923787885275	0.838394332547274	2.33689303802906	0.0194447464416149	0.217909790858145	Not
ENSG00000156042.17	11.2975481419658	1.91312708233217	1.01787485268459	1.8795307471114	0.060172059268393	0.428387655156331	Not
ENSG00000250091.3	11.1384470051218	1.87270257620702	1.04140630226351	1.79824394392147	0.0721383585860403	0.474413733696725	Not
ENSG00000268104.3	31.668843766676	1.84759790517184	0.60633676989189	3.04714804860221	0.0023102389306151	0.045657190422577	Significant
ENSG00000185634.12	21.7418498646853	1.83747069984163	0.741181052353912	2.47911180946413	0.0131710011574632	0.16856728184361	Not
ENSG00000184785.6	13.3468729369166	1.77680151086879	0.941909935567127	1.88638153583015	0.0592435589014925	0.425747971944577	Not
ENSG00000271976.1	19.5010904923482	1.75615257853669	0.766528024374819	2.29104810612633	0.0219606315154568	0.236039098920139	Not
ENSG00000198417.7	45.6745764470081	1.74153300633538	0.506701425616061	3.43700040752397	0.000588194718521109	0.0149607432828176	Significant
ENSG00000148702.15	12.2661594159026	1.70162008800964	0.986911698810502	1.72418676367963	0.084674132852787	0.514729597078784	Not
ENSG00000100292.17	11.6803888322168	1.66256529384694	0.982209543429518	1.69267882293413	0.0905166183535437	0.529987674344476	Not
ENSG00000262454.3	13.7335336499654	1.6271921537782	0.936888844276457	1.73680385215265	0.0824217988905105	0.507829282101523	Not
ENSG00000128591.15	41.8510121119431	1.60299184602255	0.5356720052644	2.99248762352502	0.00276713886727628	0.0531947527677899	Not
ENSG00000169184.6	16.5546905215602	1.57511579469662	0.828310329517711	1.90160105284905	0.0572233301988737	0.416905877287435	Not
ENSG00000283445.1	11.0907982257332	1.55722987374669	1.01550055296762	1.53346038975161	0.12516245907517	0.61537481187307	Not
ENSG00000086696.11	27.9882303911123	1.54638333545044	0.640449729756438	2.41452726670448	0.0157556436521861	0.191640734885796	Not
