baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Colour
ENSG00000205364.4	8.88491246567723	5.9942347521672	1.75685170736534	3.41191844880092	0.000645074088377456	0.00702263821501672	Significant
ENSG00000125144.13	79.8556565639145	3.34202955961702	0.467832518771812	7.14364526944548	9.08877711585586e-13	3.46685075454684e-11	Significant
ENSG00000260948.1	7.50088230927545	3.16003859901148	1.46364241357729	2.15902365885123	0.0308483315021956	0.152741311450404	Not
ENSG00000116661.11	19.3380264708237	2.91612234269486	0.871261810996246	3.34701040019236	0.000816881455801481	0.00860094541898038	Significant
ENSG00000162755.14	8.88868371041755	2.77578984417044	1.25009999979173	2.22045423936717	0.0263879486956802	0.135808492855665	Not
ENSG00000141519.15	17.175313964328	2.71970600787389	0.900833523147669	3.01909946509403	0.0025352728091544	0.0221700263584036	Significant
ENSG00000261087.1	8.54528922937393	2.70608295195655	1.30439606980194	2.07458686407069	0.0380248405761793	0.176574941786314	Not
ENSG00000271894.1	7.98333181014974	2.59532494500827	1.28701472449939	2.01654642763918	0.043742868502419	0.194245151702313	Not
ENSG00000124743.6	7.86845160347507	2.5784471541891	1.30477080595844	1.97616864388306	0.0481356799723045	0.207751443753283	Not
ENSG00000266469.1	7.7246728346863	2.54708865506067	1.30998128358087	1.94437026466373	0.0518508169698259	0.218956350696291	Not
ENSG00000175928.5	20.1285293655766	2.50073400848854	0.826656282139541	3.02511946321411	0.0024853493833379	0.021845376991443	Significant
ENSG00000250091.3	7.48237783489626	2.48963713848452	1.31534882980785	1.89275808976712	0.0583900473651784	0.237516966428494	Not
ENSG00000273305.1	9.66926515454794	2.43889573201516	1.15673783408355	2.10842566064024	0.0349941867618844	0.165947281681259	Not
ENSG00000134258.17	180.510475685779	2.4271380231053	0.281523826437293	8.62143021363743	6.61229786687644e-18	3.59666035957499e-16	Significant
ENSG00000137691.13	9.47568041695722	2.3978161702636	1.16785170609052	2.0531854838749	0.0400545917226256	0.182990458909885	Not
