baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Colour
ENSG00000173110.8	160.623353856202	4.32140696386922	0.324168433631463	13.3307457344292	1.53356982713885e-40	8.7801383103191e-38	Significant
ENSG00000100867.14	41.2286280788498	3.10226752004557	0.551046156362694	5.62977798542829	1.80441734154907e-08	7.87551299789106e-07	Significant
ENSG00000153253.17	43.1111412513299	2.93476832860115	0.533316275454898	5.50286661718302	3.73665122271688e-08	1.55422334832066e-06	Significant
ENSG00000154451.14	47.4429990746042	2.70800478878096	0.495444062521528	5.46581338567014	4.60788914338915e-08	1.86869104302527e-06	Significant
ENSG00000204248.10	59.2034858371744	2.69680599001612	0.438334978699169	6.15238600857121	7.63258290185675e-10	4.15016365272468e-08	Significant
ENSG00000169896.17	47.0054536777318	2.60367817470083	0.503855827424218	5.16750632420229	2.37237941971538e-07	8.33636477510575e-06	Significant
ENSG00000179094.16	94.7611331066936	2.60222827483312	0.367416776754672	7.08249715164926	1.41579672997738e-12	1.10239596582958e-10	Significant
ENSG00000271503.6	178.817156244601	2.57307878306108	0.261386200015816	9.84397333487911	7.27784596252298e-23	1.47573489069242e-20	Significant
ENSG00000170345.10	120.229045083584	2.50330431385899	0.310177116715582	8.07056413563351	6.99740951459184e-16	7.91927753552586e-14	Significant
ENSG00000187775.16	68.4239322735718	2.47706380531617	0.40213436044918	6.15979147504161	7.28407948698788e-10	4.0054206580143e-08	Significant
ENSG00000131203.13	104.074025591225	2.39452698691733	0.321706762172093	7.44319755901312	9.82769440167655e-14	8.69572269195617e-12	Significant
ENSG00000165949.12	323.235944689026	2.38392672412856	0.189058261858877	12.6094818638925	1.8721979274475e-36	7.28884097113861e-34	Significant
ENSG00000171992.13	56.1209034945574	2.33432979033972	0.443577273446813	5.26250989416304	1.42102014235219e-07	5.31953424827456e-06	Significant
ENSG00000185201.16	58.9204817187966	2.29320399462362	0.419228827633884	5.47005321071645	4.49900485269226e-08	1.83216795946669e-06	Significant
ENSG00000110446.11	60.9671521189291	2.26816245767969	0.429520220686337	5.28068842499512	1.28699390794719e-07	4.85515957598839e-06	Significant
ENSG00000170099.6	49.7549281114464	2.25942111344427	0.45471461073116	4.96887731364345	6.73416587441641e-07	2.19209486473896e-05	Significant
ENSG00000132274.16	633.906570588463	2.25489866052472	0.162283406186331	13.894819646167	6.80948162292952e-44	4.4184456423982e-41	Significant
ENSG00000116991.10	42.5424441039155	2.24535986428447	0.501874356523917	4.4739481806488	7.67883587758862e-06	0.000195649501561702	Significant
ENSG00000125740.14	45.7975887545636	2.21947403703054	0.475976834339239	4.66298751726365	3.11651663849584e-06	8.86931474926316e-05	Significant
ENSG00000078081.8	282.524804431293	2.20928671173559	0.21082419860669	10.4792842867967	1.07554592544866e-25	2.49244964104567e-23	Significant
ENSG00000185885.16	265.05146682992	2.14939623986633	0.210880383704717	10.1924901790581	2.14205820423329e-24	4.53231576126143e-22	Significant
ENSG00000235947.1	53.5548006741961	2.14187962894787	0.452844246502328	4.72983734582318	2.24699789985816e-06	6.60725998770982e-05	Significant
ENSG00000056558.11	128.130846284216	2.11109596625578	0.288972898893643	7.30551541109317	2.76205919910346e-13	2.27823069363339e-11	Significant
ENSG00000162772.17	539.000947983031	2.11080664003037	0.153482691027152	13.7527341090009	4.90405902962689e-43	2.98320040845991e-40	Significant
ENSG00000250508.1	49.2980264444792	2.06161239394096	0.455150400359995	4.52951901681369	5.91181134065465e-06	0.000157212185187409	Significant
ENSG00000164949.8	42.5565334027561	2.03413242858981	0.505845465207279	4.02125267201177	5.78894688729342e-05	0.00115038392566705	Significant
ENSG00000169248.12	119.108602833907	1.98068777680799	0.293901016665705	6.73930222929751	1.59149055132087e-11	1.08321521230811e-09	Significant
ENSG00000223387.6	50.6301069418434	1.9596295413889	0.458614907921573	4.27293031155458	1.92920765114004e-05	0.000437691796469603	Significant
ENSG00000144452.15	63.8116643369379	1.94318977169079	0.396432210423997	4.90169496977171	9.5013286681435e-07	3.01226162628797e-05	Significant
ENSG00000026103.22	43.3639866008667	1.93987831011951	0.478365916708004	4.05521848937163	5.00874623988075e-05	0.00101562764901582	Significant
ENSG00000111335.12	2945.89799826923	1.88990727872639	0.0882109194917061	21.4248676877707	7.83570876628918e-102	7.62649534222925e-98	Significant
ENSG00000172183.15	458.41078499613	1.88944027714352	0.162672237811461	11.6150137390586	3.45732808046532e-31	9.61433548776257e-29	Significant
ENSG00000108771.13	194.22217165465	1.88655940347166	0.234480712581959	8.04569119011119	8.57599989882005e-16	9.48525079718359e-14	Significant
ENSG00000105499.14	59.4481250242543	1.88304766967412	0.421983085650814	4.46237712767549	8.10554082888605e-06	0.0002049122828248	Significant
ENSG00000156587.16	646.399105776231	1.86604646672669	0.142493440969845	13.0956656953886	3.48604406831168e-39	1.61569842461322e-36	Significant
ENSG00000253616.5	79.4379762622257	1.84618474262098	0.380429043055772	4.85290168119557	1.21668018049842e-06	3.77132108178062e-05	Significant
ENSG00000120129.6	355.345941140394	1.81275577290413	0.176243253670663	10.285532836857	8.18878787808405e-25	1.7711438314976e-22	Significant
ENSG00000119698.12	51.7054894428348	1.79566162665697	0.438505542538245	4.09495765153379	4.22245561265211e-05	0.000872551177875647	Significant
